"5964","19110720001","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","5","5","5","5","5","5","5","2020/12/3 19:33:24"
"5965","19210170063","国际关系与公共事务学院","国际关系与公共事务学院2019级硕士生第二党支部","5","5","5","5","5","5","5","2020/12/3 19:35:09"
"5966","19210170063","国际关系与公共事务学院","国际关系与公共事务学院2019级硕士生第二党支部","5","5","5","5","5","5","5","2020/12/3 19:35:15"
"5967","20210720213","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","5","5","5","5","5","5","5","2020/12/3 19:43:34"
"5968","17110120001","外国语言文学学院","外国语言文学学院博士生党支部","5","5","5","4","5","5","5","2020/12/3 19:45:19"
"5969","19110860016","科研机构综合党委","工程与应用技术研究院2019级博士党支部","5","5","5","5","5","5","5","2020/12/3 19:51:35"
"5970","16110140005","历史学系","历史旅游延期博士班党支部","3","3","3","3","4","3","0","2020/12/3 20:07:55"
"5971","20211010070","基础医学院","基础医学院2020级硕士新生党支部","4","4","4","4","4","4","5","2020/12/3 20:09:46"
"5972","18110720030","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","5","4","4","5","5","5","5","2020/12/3 20:12:24"
"5973","18110170040","国际关系与公共事务学院","国际关系与公共事务学院公共行政系博士生党支部","5","5","5","5","5","5","0","2020/12/3 20:12:41"
"5974","20210720191","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","5","5","5","5","4","5","5","2020/12/3 20:15:08"
"5975","19110860059","科研机构综合党委","工程与应用技术研究院2019级博士党支部","5","5","5","5","5","5","5","2020/12/3 20:16:49"
"5976","17110180020","数学科学学院","数学科学学院博士生第一党支部","4","4","4","4","5","4","0","2020/12/3 20:22:29"
"5977","20110180006","数学科学学院","数学科学学院博士生第三党支部","4","4","4","4","5","5","0","2020/12/3 20:25:45"
"5978","19110180012","数学科学学院","数学科学学院博士生第一党支部","5","4","5","4","5","5","0","2020/12/3 20:25:52"
"5979","19111510037","生物医学研究院","生物医学研究院2019级研究生党支部","5","5","5","5","5","5","5","2020/12/3 20:26:03"
"5980","18110180016","数学科学学院","数学科学学院博士生第三党支部","5","5","5","5","5","5","0","2020/12/3 20:30:50"
"5981","18110180013","数学科学学院","数学科学学院博士生第三党支部","3","3","3","3","3","3","5","2020/12/3 20:34:44"
"5982","19111510009","生物医学研究院","生物医学研究院2019级研究生党支部","5","5","5","5","5","5","0","2020/12/3 20:37:28"
"5983","19110180040","数学科学学院","数学科学学院博士生第一党支部","5","5","5","5","5","5","5","2020/12/3 20:37:46"
"5984","19110180040","数学科学学院","数学科学学院博士生第一党支部","5","5","5","5","5","5","5","2020/12/3 20:37:52"
"5985","17110840010","数学科学学院","数学科学学院博士生第一党支部","5","5","4","4","5","4","0","2020/12/3 20:41:14"
"5986","20210180083","数学科学学院","数学科学学院2020级科学学位研究生党支部","5","5","4","5","5","4","5","2020/12/3 20:41:38"
"5987","20210180053","数学科学学院","数学科学学院2020级专硕党支部","5","5","5","5","5","5","5","2020/12/3 20:43:08"
"5988","20210010005","马克思主义学院","马克思主义学院2020级硕士生第二党支部","5","5","5","5","5","5","5","2020/12/3 20:44:49"
"5989","19111510012","生物医学研究院","生物医学研究院2019级研究生党支部","4","5","4","5","5","4","5","2020/12/3 20:47:58"
"5990","20210720013","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","5","5","4","4","5","5","0","2020/12/3 20:51:51"
"5991","17110720020","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","4","3","4","4","3","4","0","2020/12/3 21:15:55"
"5992","18210270053","法学院","法学院2018级法学硕士党支部","5","5","4","4","4","3","0","2020/12/3 21:45:19"
"5993","20111010073","基础医学院","基础医学院2020级硕士新生党支部","5","5","5","5","5","5","5","2020/12/3 21:55:32"
"5994","20110720032","信息科学与工程学院","信息科学与工程学院2020级电工系科硕博党支部","5","5","5","5","5","5","0","2020/12/3 21:59:07"
"5995","20110720032","信息科学与工程学院","信息科学与工程学院2020级电工系科硕博党支部","5","5","5","5","5","5","0","2020/12/3 21:59:17"
"5996","20210220049","化学系","化学系2020级硕士生党支部","4","4","5","5","5","5","0","2020/12/3 22:10:27"
"5997","18210240126","计算机科学技术学院","计算机科学技术学院2018级计算机专硕第一党支部","5","5","5","4","5","5","0","2020/12/3 22:12:19"
"5998","18210240174","计算机科学技术学院","计算机科学技术学院2018级计算机专硕第二党支部","5","5","5","1","1","5","0","2020/12/3 22:16:12"
"5999","18210240083","计算机科学技术学院","计算机科学技术学院2018级计算机专硕第二党支部","5","5","5","5","5","5","5","2020/12/3 22:41:15"
"6000","17210240123","计算机科学技术学院","计算机科学技术学院2018级计算机专硕第一党支部","5","5","5","5","5","5","0","2020/12/3 22:48:30"
"6001","18210720008","信息科学与工程学院","信息科学与工程学院光科系研究生第三党支部","4","5","5","5","5","5","0","2020/12/3 23:20:58"
"6002","19210170041","国际关系与公共事务学院","国际关系与公共事务学院2019级硕士生第一党支部","5","5","5","5","5","5","0","2020/12/3 23:30:57"
"6003","17110180009","数学科学学院","数学科学学院博士生第一党支部","4","4","4","4","5","4","0","2020/12/3 23:36:10"
"6004","19210240011","计算机科学技术学院","计算机科学技术学院2019级计算机硕士第一支部","5","5","5","4","5","5","5","2020/12/3 23:39:08"
"6005","20110180037","数学科学学院","数学科学学院博士生第三党支部","5","5","5","5","5","4","0","2020/12/3 23:39:20"
"6006","18110170036","国际关系与公共事务学院","国际关系与公共事务学院公共行政系博士生党支部","5","5","5","5","5","5","0","2020/12/4 00:07:16"
"6007","20210010038","马克思主义学院","马克思主义学院2020级硕士生第一党支部","5","5","5","5","5","5","5","2020/12/4 00:20:21"
"6008","20210220033","化学系","化学系2020级硕士生党支部","5","5","5","5","5","5","5","2020/12/4 00:24:18"
"6009","14110500001","历史学系","历史旅游延期博士班党支部","5","5","4","5","5","5","0","2020/12/4 00:56:38"
"6010","19210240215","计算机科学技术学院","计算机科学技术学院2019级计算机硕士第三支部","5","5","5","5","5","5","0","2020/12/4 01:10:32"
